Date,Open,High,Low,Close,Volume
2022-09-28,1.07276,1.09166,1.05407,1.08316,305789125000.0
2022-09-29,1.0832,1.12055,1.07634,1.11726,300761906250.0
2022-09-30,1.11726,1.12355,1.10261,1.11559,284837750000.0
2022-10-02,1.1185,1.11956,1.11291,1.11372,15824333984.375
2022-10-03,1.11371,1.13423,1.10868,1.13385,291373093750.0
2022-10-04,1.13384,1.149,1.12812,1.14515,345324968750.0
2022-10-05,1.14515,1.14963,1.12278,1.1357,360690000000.0
2022-10-06,1.13572,1.13841,1.11137,1.11623,286830750000.0
2022-10-07,1.11623,1.12257,1.10564,1.10962,281093875000.0
2022-10-09,1.1099,1.11006,1.10631,1.10738,36132609375.0
2022-10-10,1.10739,1.11124,1.102,1.1079,330007968750.0
2022-10-11,1.108,1.11807,1.09537,1.09648,448991750000.0
2022-10-12,1.09653,1.11346,1.09244,1.11019,367349812500.0
2022-10-13,1.11018,1.13814,1.10582,1.13023,316508781250.0
2022-10-14,1.13023,1.1367,1.1153,1.11821,268401937500.0
2022-10-16,1.12473,1.12537,1.12167,1.12429,22325009765.625
2022-10-17,1.12427,1.14403,1.1217,1.13528,257752718750.0
2022-10-18,1.13064,1.1347,1.12885,1.12907,46717558593.75
2022-10-19,1.13431,1.13521,1.11857,1.12081,261515593750.0
2022-10-20,1.12081,1.13371,1.11721,1.12223,321602875000.0
2022-10-21,1.12229,1.13162,1.10615,1.12998,479845687500.0
2022-10-23,1.1403,1.14107,1.13081,1.13375,42742410156.25
2022-10-24,1.13377,1.13836,1.12589,1.13068,598503000000.0
2022-10-25,1.13068,1.15002,1.12718,1.146,323717437500.0
2022-10-26,1.146,1.16416,1.14316,1.164,422574468750.0
2022-10-27,1.16398,1.16459,1.15498,1.15655,284284218750.0
2022-10-28,1.15657,1.16245,1.15046,1.16179,243018390625.0
2022-10-30,1.15911,1.16201,1.15891,1.15959,34253218750.0
2022-10-31,1.15959,1.16143,1.1461,1.14679,164180640625.0
2022-11-01,1.14679,1.15669,1.14379,1.14894,234637468750.0
2022-11-02,1.14898,1.15658,1.13759,1.13844,225079750000.0
2022-11-03,1.13844,1.14232,1.11508,1.1171,197626875000.0
2022-11-04,1.1171,1.13832,1.11486,1.13802,298852312500.0
2022-11-06,1.13127,1.13435,1.13092,1.13319,16563259765.625
2022-11-07,1.13321,1.15423,1.12914,1.15139,299510875000.0
2022-11-08,1.15138,1.16,1.14304,1.15522,212955500000.0
2022-11-09,1.15522,1.15678,1.13344,1.13691,259479687500.0
2022-11-10,1.13693,1.17324,1.1364,1.16954,339741687500.0
2022-11-11,1.1695,1.18555,1.16481,1.18406,512070281250.0
2022-11-13,1.18237,1.18254,1.1765,1.1798,39721039062.5
2022-11-14,1.17978,1.18297,1.17108,1.17525,489268625000.0
2022-11-15,1.17527,1.20295,1.17417,1.18799,662270937500.0
2022-11-16,1.18798,1.1943,1.18321,1.19149,731681250000.0
2022-11-17,1.19151,1.19588,1.17631,1.18595,547017625000.0
2022-11-18,1.18596,1.19516,1.18592,1.1891,446875718750.0
2022-11-20,1.1908,1.1908,1.18819,1.18864,18605380859.375
2022-11-21,1.18866,1.18878,1.17791,1.18274,254123312500.0
2022-11-22,1.18273,1.19035,1.18231,1.18948,253607890625.0
2022-11-23,1.18947,1.20815,1.18734,1.2078,429673437500.0
2022-11-24,1.20782,1.21544,1.20597,1.21136,436939125000.0
2022-11-25,1.21134,1.21284,1.20589,1.21023,497876625000.0
2022-11-27,1.20772,1.20795,1.20519,1.2055,16996900390.625
2022-11-28,1.2055,1.21191,1.19411,1.19605,356152625000.0
2022-11-29,1.19605,1.20652,1.19427,1.19472,337135781250.0
2022-11-30,1.19473,1.20894,1.19012,1.20763,358530812500.0
2022-12-01,1.20761,1.23119,1.20703,1.22593,475434875000.0
2022-12-02,1.22595,1.23006,1.21354,1.22815,310043906250.0
2022-12-04,1.22903,1.22978,1.22719,1.22968,6266240234.375
2022-12-05,1.22969,1.23455,1.21624,1.21935,242530453125.0
2022-12-06,1.21935,1.22702,1.21274,1.21338,281927250000.0
2022-12-07,1.21338,1.22355,1.21074,1.22107,293112062500.0
2022-12-08,1.22108,1.22482,1.21554,1.22347,404091156250.0
2022-12-09,1.22346,1.23235,1.22042,1.22685,361300750000.0
2022-12-11,1.22637,1.22706,1.22341,1.22371,7212060058.5938
2022-12-12,1.22368,1.22995,1.22079,1.227,290181875000.0
2022-12-13,1.22699,1.24448,1.2249,1.23556,415838500000.0
2022-12-14,1.23555,1.24475,1.23427,1.2419,461306937500.0
2022-12-15,1.24191,1.24268,1.21571,1.21914,409469968750.0
2022-12-16,1.21913,1.2224,1.21206,1.21415,308734062500.0
2022-12-18,1.21598,1.21718,1.21566,1.21601,13387570312.5
2022-12-19,1.21602,1.22429,1.21213,1.21556,257227265625.0
2022-12-20,1.21553,1.22249,1.20861,1.21894,327280593750.0
2022-12-21,1.21893,1.21907,1.2056,1.20775,249876281250.0
2022-12-22,1.20776,1.21483,1.1993,1.20389,192760390625.0
2022-12-23,1.20392,1.2091,1.20196,1.20459,214796953125.0
2022-12-25,1.20778,1.20882,1.20617,1.2072,236830001.8311
